name,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,avg_target_long_fraction,avg_target_short_fraction,max_target_short_fraction,final_debt_ETH_value,final_collateral_USDC,usd_gap_vs_anchor,sol_gap_vs_anchor,dd_gap_vs_anchor
hedge_g3_0.05_g2_0.05_r_0.20,66203.00883676624,529.8360050961684,42772.043023420694,57.43976738612188,37.92575797521734,2.1971000288258096,1.4705810259239156,0,False,0.5551830451960628,0.10521844383036061,0.2,550.9520964728766,66753.96093323911,-272.10915323375957,-2.1777439038315833,-1.8539136138781203
hedge_g3_0.05_g2_0.05_r_0.35,65605.79758133773,525.0564032119865,42385.29826533981,57.43976738612188,37.92575797521736,2.194725106646168,1.4705810259239156,0,False,0.5551830451960628,0.17385411195103573,0.35,545.98200826998,66151.7795896077,-869.3204086622718,-6.957345788013413,-1.8539136138781203
hedge_g3_0.05_g2_0.10_r_0.35,60876.986665060795,487.210777631539,39322.99356628726,57.93934923601085,37.28890937126883,2.1964573309855937,1.4631383913171372,0,False,0.5551830451960628,0.17677735400918082,0.35,1431.8274588777017,62308.81412393849,-5598.131324939204,-44.80297136846099,-1.3543317639891512
hedge_g3_0.05_g2_0.10_r_0.20,60474.526828683534,483.9898105536897,39062.366810441345,57.93934923601085,37.28890937126883,2.1834719063125854,1.4631383913171372,0,False,0.5551830451960628,0.1065555986936762,0.2,1422.3615986834195,61896.888427366954,-6000.591161316464,-48.02393844631024,-1.3543317639891512
hedge_g3_0.05_g2_0.20_r_0.20,53107.56893690808,425.0305637207529,34291.638995536894,58.46430459191206,38.15027677690514,2.1674220575450365,1.4631382587716324,0,False,0.5551830451960628,0.10750565236257335,0.2,1290.5262855327562,54398.09522244083,-13367.54905309192,-106.98318527924704,-0.8293764080879384
hedge_g3_0.05_g2_0.20_r_0.35,52393.88465729829,419.3188047802984,33829.46811118915,58.46430459191206,38.14605385952688,2.163532460249393,1.4631382587716324,0,False,0.5551830451960628,0.17767716445520362,0.35,1273.1835914338699,53667.06824873216,-14081.233332701711,-112.69494421970154,-0.8293764080879384
hedge_g3_0.00_g2_0.05_r_0.35,63656.91388654994,509.4590947302916,41123.23137323529,58.76305414319272,37.83179035647535,2.144499311606261,1.4753239831279321,0,False,0.5551830451960628,0.16150113047251466,0.35,1148.0630281282763,64804.97691467822,-2818.204103450058,-22.55465426970835,-0.5306268568072809
hedge_g3_0.00_g2_0.05_r_0.20,63452.53893202145,507.8234408325046,40990.88131849595,58.76305414319272,37.83179035647532,2.151193534806709,1.4753239831279312,0,False,0.5551830451960628,0.09333249594628541,0.2,1144.377091835673,64596.91602385713,-3022.579057978546,-24.190308167495346,-0.5306268568072809
hedge_g3_0.03_g2_0.15_r_0.20,57583.27294246647,460.85052374923146,37190.03557989021,59.00481546211024,38.104247309411434,2.076326248753714,1.4708385090451168,0,False,0.5551830451960628,0.10211386941329618,0.2,1874.3286078352494,59457.601550301726,-8891.845047533527,-71.1632252507685,-0.28886553788976244
hedge_g3_0.03_g2_0.15_r_0.35,56940.73239816163,455.70814244226995,36773.93627649374,59.00481546211024,37.91528036169744,2.0714258007186,1.4708385090451168,0,False,0.5551830451960628,0.17210199374243498,0.35,1853.4139904065398,58794.146388568166,-9534.38559183837,-76.30560655773002,-0.28886553788976244
