signal,atr,multiplier,profile,max_usdc_debt_to_equity,target_bullish_hf,min_rebalance_hf,rebalance_threshold,cooldown_bars,full_short_upper_bound,final_usd,usd_return_pct,final_sol_equiv,sol_equiv_return_pct,max_drawdown_pct,sortino_ratio,sharpe_ratio,min_health_factor,avg_health_factor,bars_below_hf_1,bars_below_hf_1_5,liquidations,interest_paid,actions,eth_debt_hours,usdc_debt_hours,avg_eth_short_ratio,max_eth_short_ratio,max_sol_collateral,final_sol_collateral,final_eth_debt_value,final_usdc_debt_value,risk_adjusted_sol_score
responsive_10_2,10,2.0,hold_control_no_hedge_no_usdc,0.0,99.0,99.0,0.1,4,0.0,8288.26370346594,301.7578140313107,100.20872570990134,0.2087257099013362,73.48511577900824,1.334195203267979,0.9658748620476844,44.076619025568824,inf,0,0,0,0.0,160,24112,0,0.008853966465443888,0.017359162128964503,100.0,100.0,125.29081220692571,0.0,100.20872570990134
responsive_10_2,10,2.0,soft_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,5728.838613611975,177.69455228366337,69.26415927471861,-30.735840725281392,78.38955875211303,1.1594042671371223,0.8249207153213305,1.6555047209864653,inf,0,0,0,0.0,2530,25879,0,0.3361136451454569,1.0137747340090821,100.0,100.0,2542.1613863880243,0.0,69.26415927471861
responsive_10_2,10,2.0,base_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,4147.66912541066,101.05036962727387,50.14713003760924,-49.85286996239077,85.28164614555132,1.0123335898367607,0.7106213795920894,1.3128150376374341,inf,0,1383,0,0.0,2370,25816,0,0.4323830731045191,1.013019692371495,100.0,100.0,4123.33087458934,0.0,39.583837746506596
responsive_10_2,10,2.0,aggressive_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,3942.3520135735434,91.09801326095702,47.6647565418153,-52.3352434581847,85.99742901807065,0.990981693003948,0.6934385302579961,1.2505453883729818,inf,0,3477,0,0.0,2320,25824,0,0.4748396331308875,1.0124300387478706,100.0,100.0,4328.647986426457,0.0,35.669898505674006
responsive_10_2,10,2.0,soft_hedge_full_short_no_usdc,0.0,99.0,1.75,0.1,4,1.5,6148.035389226456,198.01431843075403,74.33243125651622,-25.66756874348378,76.33264822244638,1.1955458963370704,0.8528900993590779,1.4758992767374906,inf,0,24,0,0.0,1910,25979,0,0.3949059550996603,1.0969932546564005,100.0,100.0,5067.670685709234,0.0,74.33243125651622
responsive_10_2,10,2.0,conservative_usdc_soft_hedge,0.25,2.25,1.75,0.1,4,0.0,8448.79726498479,309.5393729997475,102.14964653590607,2.14964653590608,92.64231021103413,1.4570709934066142,1.0052097285052621,0.941282855761002,1.6735992374887874,838,8442,1,139.3125514683461,1304,26097,6520,0.47128816943555024,0.7967849360154818,399.67087298047835,333.7842677705546,19158.49952231778,0.0,71.51302611383781
responsive_10_2,10,2.0,moderate_usdc_soft_hedge,0.5,1.75,1.5,0.1,4,0.0,8060.832511685363,290.73351971329924,97.45898333557446,-2.541016664425544,95.88112329290556,1.5636084360833176,1.0810654285319068,0.9378058966091666,1.333637790997955,2907,18581,6,1846.055685039275,854,26097,17622,0.4875565573754042,0.7993778657059821,795.5849992601472,311.2526186482616,17682.871576712354,0.0,42.068736749763346
responsive_10_2,10,2.0,moderate_usdc_base_hedge_high_hf,0.5,2.25,1.75,0.1,4,0.0,5720.251538746723,177.27831016707333,69.16033779164216,-30.839662208357833,94.81167082503218,1.3309269997792899,0.9254485703225108,0.9378665660933649,1.577968902566975,2936,9140,3,140.1314793366169,1416,26266,7926,0.5022158570821097,0.7996873191930558,385.75020276110416,224.6613738518568,12861.490692540354,0.0,21.792996141577802
responsive_10_2,10,2.0,moderate_usdc_soft_slow_rebalance,0.5,1.75,1.5,0.2,8,0.0,8274.94308704145,301.11212249352644,100.04767364334967,0.047673643349677164,95.45382203227643,1.5705954434397864,1.0856491092431215,0.9375724076018773,1.3361890152810736,1320,19203,5,2382.273541558723,454,26097,19302,0.4440959811222328,0.7999382169515312,744.2836488596321,304.9167347027615,16944.720040223954,0.0,53.8600295787968
responsive_10_2,10,2.0,aggressive_usdc_base_full_short,1.0,1.35,1.25,0.1,4,1.5,2892.090747663563,40.18859659057504,34.96663943493608,-65.03336056506393,98.7940312166064,1.4992342108545227,1.047758774146552,0.9376373456837384,1.1322050891125304,3678,26305,20,3247.399637449562,732,26266,15728,0.5281936002131955,0.7998828155176451,1362.4284616707578,114.02402898398833,6538.836689602112,0.0,-57.33342299827672
base_10_3,10,3.0,hold_control_no_hedge_no_usdc,0.0,99.0,99.0,0.1,4,0.0,8287.785455268015,301.7346318598165,100.20294348044995,0.20294348044993527,73.49518126810023,1.333485433219461,0.9658219147597482,40.785013654718,inf,0,0,0,0.0,108,15130,0,0.006763445826733848,0.018785709548276908,100.0,100.0,135.58700527716155,0.0,100.20294348044995
base_10_3,10,3.0,soft_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,17380.17101008969,742.4707227382302,210.13385334409008,110.1338533440901,46.66192115299309,1.8254935286935332,1.3459647635972207,1.7350106855459595,inf,0,0,0,0.0,1186,21453,0,0.2967216522834708,1.0470774362688042,100.0,100.0,0.0,0.0,210.13385334409008
base_10_3,10,3.0,base_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,14265.256752019126,591.4811804177957,172.47318041372418,72.47318041372417,52.65086832889156,1.7204628272859541,1.253257543100822,1.6013932274819902,inf,0,0,0,0.0,1554,22085,0,0.42744312001651674,1.0470774362688042,100.0,100.0,0.0,0.0,172.47318041372418
base_10_3,10,3.0,aggressive_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,12156.871039259982,489.2811943412498,146.98187691040965,46.981876910409646,59.08716479308571,1.6198954882446839,1.1712967974734347,1.559874169904175,inf,0,0,0,0.0,1674,22962,0,0.49901648993678943,1.0470774362688042,100.0,100.0,0.0,0.0,146.98187691040965
base_10_3,10,3.0,soft_hedge_full_short_no_usdc,0.0,99.0,1.75,0.1,4,1.5,17097.466334840545,728.7671514707002,206.7158304297007,106.71583042970072,43.15401244239774,1.8169026816599338,1.3368668926096332,1.6525078698348254,inf,0,0,0,0.0,1176,23963,0,0.39176892465353275,1.5620995438114755,100.0,100.0,12406.5,0.0,206.7158304297007
base_10_3,10,3.0,conservative_usdc_soft_hedge,0.25,2.25,1.75,0.1,4,0.0,6994.945556366209,239.06667747776095,84.57194482367561,-15.428055176324396,93.53540740911626,1.3844260099811787,0.9602291226533824,0.9381266537749143,1.688298534816484,839,8852,2,292.11649513864353,1052,26097,11669,0.4540796958152261,0.7994656126463157,383.8461318511541,268.2895307008866,15195.28152790412,0.0,50.145130005443086
base_10_3,10,3.0,moderate_usdc_soft_hedge,0.5,1.75,1.5,0.1,4,0.0,4727.24088572262,129.1440080330887,57.154405582428005,-42.845594417571995,96.96553999043276,1.4210463774602227,0.9830774739858363,0.9376280201265119,1.3244456202987709,2276,18800,8,1930.865682955481,602,26097,18773,0.4487854340322997,0.7998907710744441,644.032737580555,177.21880263315566,9930.526280065684,0.0,-1.8806743984375132
base_10_3,10,3.0,moderate_usdc_base_hedge_high_hf,0.5,2.25,1.75,0.1,4,0.0,7954.125089418969,285.56108043717734,96.16884402634469,-3.831155973655309,93.64736693736145,1.4344974906644585,1.0002566651347127,0.9435125972553471,1.590242019376172,932,8916,2,509.1010315562119,984,26265,9000,0.4656401730383863,0.794901946388135,440.760500401946,307.9411141267393,17515.68446000364,0.0,61.14611015162178
base_10_3,10,3.0,moderate_usdc_soft_slow_rebalance,0.5,1.75,1.5,0.2,8,0.0,5800.399661029176,181.16333790737644,70.12936357186769,-29.870636428132315,96.52441458425106,1.472582544396738,1.0204130264456228,0.9375884209961329,1.344613190554,2013,17879,7,2386.6900950040845,396,26097,19357,0.4215401249809472,0.799144397009008,676.9123038182103,216.89282970900737,12138.806284202823,0.0,15.028534403365562
base_10_3,10,3.0,aggressive_usdc_base_full_short,1.0,1.35,1.25,0.1,4,1.5,2286.6083104803,10.838987420276302,27.646092497645995,-72.35390750235399,98.77501665236491,1.4442983719679012,1.0261547991102653,0.9381917573169976,1.1339278365128231,3528,26292,23,4593.2052433356475,688,26265,17299,0.46800401902052746,0.7994101356686606,1298.1053687357303,83.63664250240676,4630.9783908937625,0.0,-70.01594080708382
slow_14_4,14,4.0,hold_control_no_hedge_no_usdc,0.0,99.0,99.0,0.1,4,0.0,8275.355017919139,301.13209005909545,100.05265406745423,0.052654067454227516,73.56755448333182,1.3324640656634872,0.965192364486896,40.22308671895162,inf,0,0,0,0.0,82,10882,0,0.00566471640044147,0.019019803430654837,100.0,100.0,137.27659216147694,0.0,100.05265406745423
slow_14_4,14,4.0,soft_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,7989.947993792472,287.2975275711329,96.60195857565557,-3.3980414243444224,73.08661411766691,1.3394787727842297,0.9685409814603683,1.609534821086464,inf,0,0,0,0.0,864,23199,0,0.3062081987940848,1.0441663873491198,100.0,100.0,281.0520062075282,0.0,96.60195857565557
slow_14_4,14,4.0,base_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,9690.638087424817,369.73524417958396,117.16404409895802,17.16404409895802,67.8192624539434,1.4799863668326587,1.067536504560416,1.6077930283788548,inf,0,0,0,0.0,1068,23565,0,0.42781568971109263,1.0441663873491198,100.0,100.0,0.0,0.0,117.16404409895802
slow_14_4,14,4.0,aggressive_hedge_no_usdc,0.0,99.0,1.75,0.1,4,0.0,8552.873996539758,314.5842945487038,103.40797964623091,3.4079796462309186,70.69594323816985,1.4012081059883141,1.004555291939176,1.5564909495014114,inf,0,0,0,0.0,1272,24246,0,0.4882700497345466,1.0441663873491198,100.0,100.0,0.0,0.0,103.40797964623091
slow_14_4,14,4.0,soft_hedge_full_short_no_usdc,0.0,99.0,1.75,0.1,4,1.5,8399.4840725408,307.1490098177799,101.55342851578769,1.5534285157876804,72.12649748546706,1.3751071696244133,0.9989169864177768,1.580213612703887,inf,0,0,0,0.0,868,24080,0,0.3726978451124864,1.4717368517559255,100.0,100.0,7469.084129841532,0.0,101.55342851578769
slow_14_4,14,4.0,conservative_usdc_soft_hedge,0.25,2.25,1.75,0.1,4,0.0,4969.63837154762,140.8937649804954,60.085096984011855,-39.914903015988145,95.7523917366774,1.257783922030099,0.8869660583500878,0.9378957910977486,1.6908117591491771,1530,9444,5,836.9318102307103,856,26097,18952,0.4131714432101432,0.7996624007899339,407.8220662341102,195.41433784362493,11193.081511498596,0.0,12.460313510657063
slow_14_4,14,4.0,moderate_usdc_soft_hedge,0.5,1.75,1.5,0.1,4,0.0,3668.60690004376,77.82873970158798,44.35505863914594,-55.64494136085406,97.74809074308767,1.3926413588316777,0.9847996826829044,0.9381886767089767,1.3159178881463458,2879,19871,9,3969.209197675327,426,26097,23474,0.3239173317917193,0.7994108544964632,658.8848929429605,138.5634455661975,7791.975682736433,0.0,-20.657122847029406
