supertrend_atr_period,supertrend_multiplier,rebalance_threshold,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,min_health_factor,total_liquidations,total_interest_paid,total_lst_yield_earned,liquidated,final_sol_equiv,final_sol_equiv_calc,final_value_calc
10,2.0,0.15,47.6194319236808,98.75688724102024,1.0759110563846042,1.5280763109312854,0.9381116318759696,20,4645.513024153887,0.0,False,29.01561149286526,36.82008077119496,3045.388880585535
14,4.0,0.1,25.231381311155506,98.88122481349576,1.0788294216880272,1.516656854591787,0.9375374963935376,20,6965.608572417484,0.0,False,29.068490370165453,31.235925479979908,2583.523396449138
10,3.0,0.15,37.260065166866674,98.80351176989592,1.0697361645592334,1.5085293264585111,0.9375144239741839,21,6119.083958738157,0.0,False,29.752061762010534,34.23618842210688,2831.6751443924595
10,2.0,0.1,40.18859659057504,98.7940312166064,1.047758774146552,1.4992342108545227,0.9376373456837384,20,3247.399637449562,0.0,False,25.57185197299337,34.96663943493608,2892.090747663563
14,3.0,0.1,18.386117119457026,98.84569905723086,1.0567828501168175,1.4935760242682778,0.9377147964521992,22,5480.6145541103115,0.0,False,25.51616912739846,29.528540638065515,2442.3055961743985
14,3.0,0.05,21.41446218512836,98.84088103637814,1.0507595995716317,1.484970125761649,0.9376054167928721,22,4931.755444101992,0.0,False,28.998910872585324,30.283887738836878,2504.780354879198
10,3.0,0.05,29.373572823693266,98.75834543149405,1.050979044519987,1.4809690194415257,0.9375079938684149,22,4838.186829124375,0.0,False,19.715579294119426,32.26909451520726,2668.976807352792
10,2.0,0.05,32.74877744588589,98.73019688443964,1.0340432929160872,1.4801586769071262,0.9376189425216432,21,2864.911149824659,0.0,False,19.442255346905107,33.11095730514601,2738.607278708626
14,2.0,0.1,25.898112757869562,98.69928307727506,1.03021343438894,1.465560074206467,0.9377086566182725,22,3980.3596196399008,0.0,False,18.566614130050393,31.402225440634133,2597.278066194849
14,3.0,0.15,6.815662771000486,98.81527923662891,1.0405146555453946,1.4654947648520305,0.9375389114878119,23,5084.208146792587,0.0,False,33.11095730514601,26.642571913501875,2203.60712296574
7,2.0,0.15,19.282260219868686,98.84241794743795,1.0326787586015795,1.4638523671060855,0.937503233438207,22,4483.454090081359,0.0,False,34.96663943493608,29.752061762010534,2460.793028335891
14,2.0,0.05,29.41207059229099,98.73694068874497,1.0222862176350558,1.460891487221307,0.937556387917121,21,2872.2869547613013,0.0,False,36.82008077119496,32.27869684825249,2669.771016318963
7,3.0,0.15,16.262720226443623,99.04307120085191,1.0322341790223581,1.457703798559385,0.9378205819181716,22,5659.622904428597,0.0,False,32.26909451520726,28.998910872585324,2398.499918271532
7,3.0,0.05,2.522921797686941,99.04674588713999,1.0257993718232379,1.4443843211310123,0.9375186041121183,23,5861.624331148062,0.0,False,27.646092497645995,25.57185197299337,2115.0478766862816
7,3.0,0.1,2.299677582507336,99.05482557172816,1.0259299914954239,1.4443352092809987,0.9375245428883937,23,5951.959959956625,0.0,False,34.23618842210688,25.51616912739846,2110.4423485271263
10,3.0,0.1,10.838987420276302,98.77501665236491,1.0261547991102653,1.4442983719679012,0.9381917573169976,23,4593.2052433356475,0.0,False,23.386331311568078,27.646092497645995,2286.6083104803
7,2.0,0.1,16.54167903617957,98.80161713188613,1.0039856741401108,1.4285860944456152,0.9377094597873215,23,2991.5789816611677,0.0,False,25.244030306672784,29.068490370165453,2404.2548385163846
7,2.0,0.05,16.329676518414235,98.82391879440982,1.0035676179823858,1.4279218758578367,0.9378684492446722,23,3010.18464421488,0.0,False,20.934738514859657,29.01561149286526,2399.8812265748857
10,4.0,0.1,1.2086159314060014,99.13938291230379,1.0164804744766638,1.4267364374651375,0.9376582141843138,22,6067.396501205849,0.0,False,32.27869684825249,25.244030306672784,2087.933746664906
14,2.0,0.15,7.49456058818156,98.76888322386277,1.0000245618940797,1.418127782563557,0.9375618106788552,23,3389.921052648557,0.0,False,31.402225440634133,26.81190647967822,2217.6127849341856
10,4.0,0.05,-6.239289249646358,99.16101044647881,1.0071307595643224,1.41678708295434,0.9376812774743675,24,6108.031577938764,0.0,False,26.81190647967822,23.386331311568078,1934.2834627797956
10,4.0,0.15,-16.068239332814247,99.21779088981559,0.9964362526847129,1.4026743531241759,0.9377782044518292,24,5223.190048482509,0.0,False,30.283887738836878,20.934738514859657,1731.512222564042
14,4.0,0.05,-14.484890292977912,99.22630347129625,1.0012680250306343,1.3995674313029656,0.9377361219263405,23,6960.434510673425,0.0,False,29.528540638065515,21.329666464222775,1764.1767132558657
7,4.0,0.05,-20.956104536276417,99.2847854287379,0.9898462708458541,1.3910962384888834,0.9375154502522857,24,5612.941722808305,0.0,False,26.642571913501875,19.715579294119426,1630.6755634166175
14,4.0,0.15,-20.850066918679726,99.22675404199587,0.9855681814589184,1.3858760710839633,0.9376042765121022,24,5221.22177887241,0.0,False,21.329666464222775,19.74202780156737,1632.8631194676373
7,4.0,0.1,-22.05191760821516,99.28840402979114,0.9859106310754387,1.382613855102714,0.937619897237682,24,5741.932178986401,0.0,False,31.235925479979908,19.442255346905107,1608.0689397425213
7,4.0,0.15,-25.562547033617644,99.27092302284437,0.9684145071996151,1.3609074538523818,0.9375276121636545,24,5033.742925868588,0.0,False,19.74202780156737,18.566614130050393,1535.644654696468
