window,name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_static,sol_gap_vs_static,dd_gap_vs_static,strict_improvement_vs_static
full_2021_2025,static_light_hedge,68291.65184641142,546.5518355054935,57.43976738612188,2.204466058176605,1.4694476386357505,89,3080,1553.3952955172863,0,False,0.01347660264462055,0.05,1.0,12232,2992.915358724631,515.9014233456626,0.0,0.0,0.0,True
full_2021_2025,rs_lb18_u0.0000,66603.6893886578,533.0427322021433,59.46200711491703,2.1802890762019143,1.4708696151451257,66,3205,1528.9428657053754,0,False,0.005143649941763538,0.05,0.836937903944093,4553,3092.5639499462145,342.8143354444892,-1687.962457753616,-13.50910330335023,2.0222397287951495,False
full_2021_2025,rs_lb18_u0.0025,69763.25791017059,558.3293950393805,57.43188810058607,2.2082710479534113,1.4694078181098373,87,3058,1590.461293763522,0,False,0.004734281864480326,0.05,0.8272546646264873,4218,2994.460534910818,369.9009189548454,1471.6060637591727,11.777559533887029,-0.007879285535807412,True
full_2021_2025,rs_lb18_u0.0050,69755.6910690011,558.2688360864433,57.43189000238033,2.2082482947634117,1.4694077987794505,87,3058,1590.297217804576,0,False,0.004343184050060521,0.05,0.8167721013086076,3897,2992.046892804722,375.8061044314183,1464.0392225896794,11.717000580949843,-0.007877383741551114,True
full_2021_2025,rs_lb18_u0.0075,69776.14661939617,558.4325459735587,57.431679466843335,2.2083332454617173,1.469409938710675,87,3058,1590.761098593623,0,False,0.0038544545184643854,0.05,0.8113138602781648,3397,3243.984845007756,378.86387090921465,1484.4947729847481,11.880710468065217,-0.008087919278544575,True
full_2021_2025,rs_lb24_u0.0000,69619.56513375092,557.1793928271381,57.430728797360096,2.2075598792636475,1.4694051374432535,87,3061,1587.1947423963327,0,False,0.005487930207595862,0.05,0.8357274990293923,5002,3245.3279316504468,360.3832095993187,1327.9132873394992,10.627557321644645,-0.009038588761782762,True
full_2021_2025,rs_lb24_u0.0025,69619.56513375092,557.1793928271381,57.430728797360096,2.2075598792636475,1.4694051374432535,87,3061,1587.1947423963327,0,False,0.0051242377874711675,0.05,0.8280996642839199,4668,3245.3279316504468,360.3832095993187,1327.9132873394992,10.627557321644645,-0.009038588761782762,True
full_2021_2025,rs_lb24_u0.0050,69809.8275085028,558.7021009083858,57.43072635108229,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.004641217713019847,0.05,0.8210199374243496,4173,3231.5145295194548,367.95517582494756,1518.1756620913802,12.150265402892273,-0.009041035039587086,True
full_2021_2025,rs_lb24_u0.0075,65484.45508700041,524.0852748059257,59.48449727107605,2.1429379997317137,1.4722056192898207,48,3179,1503.183945231282,0,False,0.004290657044328225,0.05,0.8109027793637381,3867,3888.9134926189076,168.36369469171737,-2807.19675941101,-22.46656069956782,2.0447298849541724,False
full_2021_2025,rs_lb36_u0.0000,69653.46139736204,557.4506714474753,57.433949484618076,2.207746926122511,1.4694196305701506,85,3080,1588.5520303410954,0,False,0.0057083152533857085,0.05,0.8402950647452441,5164,3188.663097763281,377.500272764382,1361.8095509506238,10.898835941981815,-0.005817901503803569,True
