name,windows,strict_wins,avg_usd_gap,min_usd_gap,avg_dd_gap,max_dd_gap,avg_final_usd,avg_final_sol
rs_lb24_u0.0050_g3_0.050_g2_0.050,4,4,763.1273384896485,334.7489075087178,-0.11766965862691592,-0.009041035039587086,36501.14588708517,302.0355783430819
rs_lb24_u0.0050_g3_0.050_g2_0.000,4,3,874.9383022463617,427.5564359002201,0.04851941194873177,0.24827818709300686,36612.95685084189,302.93042399139495
rs_lb24_u0.0050,4,3,855.7165223780567,427.5564359002201,0.05242261453331665,0.26389099743134636,36593.735070973584,302.7765882181392
rs_lb24_u0.0050_g3_0.050_g2_0.025,4,3,855.7165223780567,427.5564359002201,0.05242261453331665,0.26389099743134636,36593.735070973584,302.7765882181392
rs_lb24_u0.0025,4,3,803.4540935870373,363.1167839024056,0.050510863897471836,0.25623910233234426,36541.47264218256,302.3301897368184
rs_lb24_u0.0000,4,3,801.8035447644215,363.1167839024056,0.06450385871187159,0.3105785346040335,36539.822093359944,302.3169800623677
rs_lb36_u0.0000,4,3,775.617696400529,381.29754648569724,0.15425612963263724,0.6611077885914014,36513.63624499606,302.11534643240947
rs_lb18_u0.0075,4,3,602.8805048569693,94.89454571278475,0.05868256535726779,0.26029497475779095,36340.89905345249,300.7503235483173
rs_lb18_u0.0050,4,3,576.9295139752203,85.21853785164785,0.18049768500877406,0.7471343822898149,36314.948062570744,300.5393245690492
rs_lb18_u0.0025,4,3,551.8019978329785,85.21853785164785,0.18049720490303578,0.7471362654553744,36289.820546428506,300.33825387142065
rs_lb36_u0.0050,4,1,-8.091929190812152,-1278.935698457586,0.7217321131806251,1.3384348718699641,35729.926619404716,295.4546470610275
rs_lb36_u0.0025,4,1,-50.69213433196728,-1329.5629444353108,0.7413366474670458,1.3695774103892546,35687.32641426356,295.1065312726415
rs_lb18_u0.0000,4,1,-481.4775315388115,-1687.962457753616,1.1932979561459494,2.0222397287951495,35256.54101705671,291.6110471042771
rs_lb24_u0.0075,4,1,-552.8603072515753,-2807.19675941101,1.067869836201714,2.0447298849541724,35185.15824134395,290.8724521062469
rs_lb24_u0.0050_g3_0.040_g2_0.000,4,0,-351.02072731864246,-1816.5338568453735,1.2301404703691414,1.853913233463686,35386.997821276884,292.72459461044764
rs_lb24_u0.0050_g3_0.040_g2_0.025,4,0,-351.02072731864246,-1816.5338568453735,1.2301404703691414,1.853913233463686,35386.997821276884,292.72459461044764
rs_lb24_u0.0050_g3_0.060_g2_0.025,4,0,-602.7084034631789,-2003.230219739111,0.5019263239922598,0.8884808575134286,35135.310145132345,290.779252789888
