name,target_long_fraction,enable_signal_governor,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,max_target_long_fraction,avg_target_long_fraction,min_target_long_fraction,green3_pct,green4_pct,risk_off_pct,usd_gap_vs_static_1_05,dd_gap_vs_static_1_05,usd_gap_vs_prior_sol_checkpoint,sol_gap_vs_prior_sol_checkpoint
signal_g3_0.750_g4_1.075,1.075,True,43682.242744356954,349.59778106728254,28187.943753630974,56.47990672989869,34.39829575975255,1.8140054745046594,1.475869519897218,0,False,1.075,0.4841265672459863,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-21728.421346643045,-2.8745052701013165,-18321.37725564305,-146.75534093271744
signal_g3_0.750_g4_1.100,1.1,True,46776.44250227474,374.3612845320107,30191.699587018997,57.01469745675596,34.72939784992698,1.8135088419932541,1.4578199312869489,0,False,1.1,0.49087857126544404,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-18634.22158872526,-2.3397145432440425,-15227.177497725264,-121.99183746798928
signal_g3_0.750_g4_1.125,1.125,True,48749.50663176231,390.15211389965833,31469.425354074803,57.94270465326233,35.0575783591321,1.8038334866605985,1.4405726129070888,0,False,1.125,0.4976305752849019,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-16661.157459237686,-1.4117073467376713,-13254.11336823769,-106.20100810034165
signal_g3_0.900_g4_1.075,1.075,True,56389.63338654396,451.2975861268024,36417.05309321588,58.242939919400364,36.82076856319315,1.8360676692663374,1.4758696342826392,0,False,1.075,0.5228846461278461,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-9021.03070445604,-1.1114720805996399,-5613.986613456043,-45.055535873197584
signal_g3_0.750_g4_1.150,1.15,True,51745.23916172469,414.12756431952533,33409.41533591807,58.62259447323521,35.382883764884156,1.7998497553943356,1.4240752424134482,0,False,1.15,0.5043825793043598,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-13665.424929275308,-0.7318175267647931,-10258.380838275312,-82.22555768047465
signal_g3_0.900_g4_1.100,1.1,True,59978.551141383636,480.0204172979883,38741.18063811918,58.75244783076688,37.13959824519273,1.836491708677789,1.4578200452355816,0,False,1.1,0.5296366501473039,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-5432.112949616363,-0.6019641692331206,-2025.068858616367,-16.33270470201171
signal_g3_1.025_g4_1.075,1.075,True,66475.11798956605,532.0137494162949,42948.256695742806,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,1.075,0.5551830451960628,0.0,25.838719254573274,27.00801607783132,47.15326466759541,1064.4538985660474,-0.06073138041443826,4471.4979895660435,35.660627416294915
static_1.05,1.05,False,65410.66409132549,523.4947106148499,42258.93283986885,59.35441151618135,38.45869457981893,1.958531990571394,1.466230913801255,0,False,1.05,1.05,1.05,25.838719254573274,27.00801607783132,0.0,3.2548996387049556e-07,-4.838186526967547e-07,3407.044091325486,27.141588614849866
signal_g3_1.000_g4_1.075,1.075,True,64347.762288327955,514.9880935440412,41570.61409683199,59.41897914028429,38.52573894858874,1.9352954593532279,1.475869709915855,0,False,1.075,0.5487233653824194,0.0,25.838719254573274,27.00801607783132,47.15326466759541,-1062.9018026720441,0.06456714028428934,2344.142288327952,18.634971544041264
signal_g3_0.900_g4_1.125,1.125,True,63073.41904449167,504.7892680631586,40745.36915198268,59.49448530408694,37.45561491962269,1.8309398825208336,1.4405727264214387,0,False,1.125,0.5363886541667618,0.0,25.838719254573274,27.00801607783132,72.99198392216869,-2337.245046508331,0.14007330408693974,1069.799044491665,8.436146063158617
