name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rv_lb336_tv0.018_min0.70,76356.73873366253,611.0983492089838,58.55809258732829,37.93000388959285,2.306992541452571,1.4797582606777007,98,3211,1729.9284650387895,0,False,0.5458235051027155,0.0,0.004894146664535136,0.5617597137106976,1.8048303395232268,0.05042592550300318,6546.908733662523,52.39634920898379,1.127092587328292
rv336_tv0.018_min0.70_dd_soft,70588.20873454672,564.931642533387,57.07479092402309,37.927765781869375,2.2890062902346204,1.4797559594693424,82,3402,1587.4826162936638,0,False,0.5380823256900877,0.0,0.004632653527302625,0.5617597137106976,1.8048303395232268,0.11583346655400005,778.3787345467135,6.22964253338705,-0.3562090759769063
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0,0.0047651129330623255,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
rv_lb336_tv0.024_min0.85,68511.7082297859,548.3129910347011,59.45239540328284,37.930003889592854,2.2019978354733283,1.47800082847915,79,3237,1556.8444838321752,0,False,0.553551836631926,0.0,0.004813072373078767,0.5617597137106976,1.8048303395232268,0.017813506291821775,-1298.1217702141003,-10.389008965298899,2.0213954032828454
rv_lb72_tv0.030_min0.90,65689.0919861615,525.7230250993317,59.46057381752239,37.930003889592854,2.1975493554857275,1.4785150024456233,78,3247,1492.1475955175868,0,False,0.5539636900394086,0.0,0.004906707470253729,0.5585930112294367,1.8406738162548533,0.010847968575147875,-4120.738013838505,-32.97897490066828,2.0295738175223903
rv336_tv0.018_min0.70_dd_medium,63302.142947512904,506.6197914967019,55.59073212544142,37.818970959010194,2.2575771865408254,1.4797502176782593,52,3607,1419.8343761546512,0,False,0.5305079284305311,0.0,0.004714869710187955,0.5617597137106976,1.8048303395232268,0.14702994039326742,-6507.687052487097,-52.08220850329809,-1.8402678745585774
rv_lb168_tv0.025_min0.80,63266.27503448089,506.3327333691948,59.45513914504297,37.95606313562327,2.197935004983152,1.4722059361133306,52,3239,1452.5691496297693,0,False,0.5525210482288294,0.0,0.004665768378742549,0.5649701424793909,1.7985037991795139,0.017493776691712152,-6543.5549655191135,-52.369266630805214,2.024139145042973
rv_lb168_tv0.020_min0.70,63122.94861223117,505.1856631631146,58.77131946256075,38.16668889964927,2.258950722781178,1.475423441453078,100,3289,1433.074844694776,0,False,0.5484568291452545,0.0,0.004647498115879142,0.5649701424793909,1.7985037991795139,0.03252106789686437,-6686.88138776883,-53.51633683688539,1.3403194625607497
dd_soft,62146.8712780638,497.3739197924274,55.876163738207005,37.9422379683766,2.182617500011625,1.4806304939451118,36,3339,1401.7684048586711,0,False,0.546131842784388,0.0,0.0046212346130129955,0.0,0.0,0.082193345056752,-7662.9587219362,-61.32808020757261,-1.5548362617929925
rv_lb168_tv0.030_min0.90,61162.08430265203,489.49247140978014,59.446780966702484,37.93000388959284,2.1650064393276156,1.4775249360291771,84,3263,1390.2037932997773,0,False,0.5544060383832271,0.0,0.00465434946445292,0.5649701424793909,1.7985037991795139,0.008335807431429419,-8647.745697347971,-69.20952859021986,2.0157809667024864
