name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,usd_gap_vs_anchor,sol_gap_vs_anchor,dd_gap_vs_anchor
refine_g3_0.050_g2_0.025_r_0.000,68291.65184641142,546.5518355054935,57.43976738612188,37.945007890300374,2.204466058176605,1.4694476386357505,0,False,0.01347660264462055,0.05,1816.5338564114209,14.538086505493538,-1.8539136138781203
refine_g3_0.050_g2_0.050_r_0.000,68291.65184641142,546.5518355054935,57.43976738612188,37.945007890300374,2.204466058176605,1.4694476386357505,0,False,0.013967615959074612,0.05,1816.5338564114209,14.538086505493538,-1.8539136138781203
refine_g3_0.050_g2_0.025_r_0.100,66615.37389704495,533.1362456746294,57.43976738612188,37.92575797521734,2.19872288520043,1.4705810259239156,0,False,0.05896841528307488,0.1,140.2559070449497,1.122496674629474,-1.8539136138781203
refine_g3_0.050_g2_0.050_r_0.100,66615.37389704495,533.1362456746294,57.43976738612188,37.92575797521734,2.19872288520043,1.4705810259239156,0,False,0.05939776646036494,0.1,140.2559070449497,1.122496674629474,-1.8539136138781203
refine_g3_0.050_g2_0.025_r_0.200,66203.00883676624,529.8360050961684,57.43976738612188,37.92575797521734,2.1971000288258096,1.4705810259239156,0,False,0.10483533925594353,0.2,-272.10915323375957,-2.1777439038315833,-1.8539136138781203
refine_g3_0.050_g2_0.050_r_0.200,66203.00883676624,529.8360050961684,57.43976738612188,37.92575797521734,2.1971000288258096,1.4705810259239156,0,False,0.10521844383036061,0.2,-272.10915323375957,-2.1777439038315833,-1.8539136138781203
refine_g3_0.050_g2_0.000_r_0.000,65929.42341882453,527.6464459289679,58.7081661726362,37.940760888003005,2.1975220182896305,1.4707706074603208,0,False,0.01299358257016923,0.05,-545.694571175467,-4.367303071032097,-0.5855148273638022
refine_g3_0.050_g2_0.000_r_0.100,65152.86314059914,521.4314777158795,58.7081661726362,37.92520365926284,2.194524821272531,1.4707706074603208,0,False,0.05953707721469842,0.1,-1322.2548494008588,-10.582271284120452,-0.5855148273638022
refine_g3_0.050_g2_0.000_r_0.200,64749.58082638512,518.2039281823539,58.7081661726362,37.925203659262834,2.192898959070218,1.4707706074603208,0,False,0.10561239637335279,0.2,-1725.5371636148775,-13.809820817646028,-0.5855148273638022
refine_g3_0.035_g2_0.050_r_0.000,64761.427500757214,518.2987395018584,59.062311245228805,37.831790356475274,2.157930677232845,1.4753239831279312,0,False,0.009741589969625689,0.05,-1713.6904892427847,-13.715009498141512,-0.23136975477119393
refine_g3_0.040_g2_0.050_r_0.000,64761.427500757214,518.2987395018584,59.062311245228805,37.831790356475274,2.157930677232845,1.4753239831279312,0,False,0.011040263091785234,0.05,-1713.6904892427847,-13.715009498141512,-0.23136975477119393
refine_g3_0.045_g2_0.050_r_0.000,64761.427500757214,518.2987395018584,59.062311245228805,37.831790356475274,2.157930677232845,1.4753239831279312,0,False,0.012338936213944777,0.05,-1713.6904892427847,-13.715009498141512,-0.23136975477119393
refine_g3_0.035_g2_0.050_r_0.100,64381.63309516428,515.2591684286857,59.062311245228805,37.831790356475324,2.155377930210468,1.4753239831279326,0,False,0.05582730034028365,0.1,-2093.4848948357176,-16.75458057131425,-0.23136975477119393
refine_g3_0.040_g2_0.050_r_0.100,64381.63309516428,515.2591684286857,59.062311245228805,37.831790356475324,2.155377930210468,1.4753239831279326,0,False,0.05712631602987188,0.1,-2093.4848948357176,-16.75458057131425,-0.23136975477119393
refine_g3_0.045_g2_0.050_r_0.100,64381.63309516428,515.2591684286857,59.062311245228805,37.831790356475324,2.155377930210468,1.4753239831279326,0,False,0.0584253317194601,0.1,-2093.4848948357176,-16.75458057131425,-0.23136975477119393
refine_g3_0.035_g2_0.050_r_0.200,64293.37083963621,514.5527878322226,59.062311245228805,37.831790356475324,2.1547129457114376,1.475323983127931,0,False,0.1014946216913696,0.2,-2181.747150363786,-17.460961167777327,-0.23136975477119393
refine_g3_0.040_g2_0.050_r_0.200,64293.37083963621,514.5527878322226,59.062311245228805,37.831790356475324,2.1547129457114376,1.475323983127931,0,False,0.1027937515701007,0.2,-2181.747150363786,-17.460961167777327,-0.23136975477119393
refine_g3_0.045_g2_0.050_r_0.200,64293.37083963621,514.5527878322226,59.062311245228805,37.831790356475324,2.1547129457114376,1.475323983127931,0,False,0.10409288144883184,0.2,-2181.747150363786,-17.460961167777327,-0.23136975477119393
anchor_no_hedge,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.0,0.0,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.035_g2_0.000_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.00909310982711764,0.035,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.035_g2_0.025_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.009407700915796928,0.035,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.040_g2_0.000_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.010392125516705873,0.04,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.040_g2_0.025_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.01070671660538516,0.04,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.045_g2_0.000_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.011691141206294105,0.045,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.045_g2_0.025_r_0.000,66475.11798956605,532.0137494162949,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.012005732294973393,0.045,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
refine_g3_0.035_g2_0.000_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.05469945417589696,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.035_g2_0.025_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.05511338981889602,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.040_g2_0.000_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.055998355676342294,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.040_g2_0.025_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.05641229131934135,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.045_g2_0.000_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.057297257176787623,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.045_g2_0.025_r_0.100,66173.85610518152,529.6026899174191,59.293680619585565,38.68559439504649,1.9393720458825483,1.475903875205251,0,False,0.057711192819786684,0.1,-301.2618848184793,-2.4110590825808913,-3.80414434175691e-07
refine_g3_0.035_g2_0.000_r_0.200,65766.60308993267,526.3433620642871,59.293680619585565,38.68559439504649,1.938012088472651,1.475903875205251,0,False,0.10178489049261195,0.2,-708.5149000673264,-5.670386935712827,-3.80414434175691e-07
