name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0,0.0047651129330623255,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
rv336_tv0.018_min0.70,76356.73873366253,611.0983492089838,58.55809258732829,37.93000388959285,2.306992541452571,1.4797582606777007,98,3211,1729.9284650387895,0,False,0.5458235051027155,0.0,0.004894146664535136,0.5617597137106976,1.8048303395232268,0.05042592550300318,6546.908733662523,52.39634920898379,1.127092587328292
rv336_tv0.018_min0.70_dd_soft,70588.20873454672,564.931642533387,57.07479092402309,37.927765781869375,2.2890062902346204,1.4797559594693424,82,3402,1587.4826162936638,0,False,0.5380823256900877,0.0,0.004632653527302625,0.5617597137106976,1.8048303395232268,0.11583346655400005,778.3787345467135,6.22964253338705,-0.3562090759769063
rv336_tv0.018_min0.70_dd_medium,63302.142947512904,506.6197914967019,55.59073212544142,37.818970959010194,2.2575771865408254,1.4797502176782593,52,3607,1419.8343761546512,0,False,0.5305079284305311,0.0,0.004714869710187955,0.5617597137106976,1.8048303395232268,0.14702994039326742,-6507.687052487097,-52.08220850329809,-1.8402678745585774
rv336_tv0.018_min0.70_dd_hard,52164.038677023666,417.479301136644,51.266105898094914,37.12081897270387,2.1924974640837633,1.4892919709924497,8,3971,1097.8798842581575,0,False,0.5079000698785104,0.0,0.004624660287299884,0.5617597137106976,1.8048303395232268,0.22029369447552927,-17645.791322976336,-141.22269886335602,-6.164894101905084
rv336_dd_hard_lite_a,58503.375845430455,468.2142924804358,52.246897564694486,37.32175079866479,2.19611607222361,1.4721128726199846,14,3739,1255.0229124172538,0,False,0.5164155509577758,0.0,0.00459611300157581,0.5617597137106976,1.8048303395232268,0.20008221618288533,-11306.454154569547,-90.4877075195642,-5.184102435305512
rv336_dd_hard_lite_b,55501.50455166193,444.1897122982147,52.97065610416419,37.54488913630961,2.219070553105679,1.4752172870469356,50,3714,1217.0621246108851,0,False,0.5205881784543592,0.0,0.004677187293032179,0.5617597137106976,1.8048303395232268,0.19875762212528833,-14308.325448338073,-114.51228770178528,-4.4603438958358055
rv336_dd_hard_lite_c,58464.889636159256,467.9062796011145,54.68552326102844,37.72099637686595,2.2403930154606915,1.4797569732331366,50,3604,1281.744089525013,0,False,0.5195135836392727,0.0,0.004670335944458401,0.5617597137106976,1.8048303395232268,0.1877726265786649,-11344.940363840746,-90.79572039888552,-2.745476738971554
rv336_dd_hard_lite_d,54883.111637970556,439.2405893395002,54.88895977103532,37.43783036356086,2.2281092921844925,1.4759038673805622,61,3857,1206.7947905554647,0,False,0.521155129988837,0.0,0.004718295384474844,0.5617597137106976,1.8048303395232268,0.1669216890858017,-14926.718362029445,-119.46141066049978,-2.54204022896468
rv336_dd_medium_plus_a,63664.77482815142,509.52200742818263,54.864857357118545,37.81891438936905,2.2617566667912863,1.4797611531607278,50,3576,1418.9631049117752,0,False,0.5261537591193104,0.0,0.0046806129673190675,0.5617597137106976,1.8048303395232268,0.16922830977230685,-6145.05517184858,-49.179992571817365,-2.566142642881452
rv336_dd_medium_plus_b,61874.56366745936,495.1945871745447,54.63210940872458,37.818970959010244,2.252684580716764,1.4797502176782602,52,3568,1381.898919369172,0,False,0.526862460621823,0.0,0.004741133213054103,0.5617597137106976,1.8048303395232268,0.15139196565190582,-7935.266332540639,-63.507412825455276,-2.7988905912754163
rv336_dd_medium_plus_c,61718.54529678772,493.945940750602,55.621280376690116,37.73600565839686,2.25520122877763,1.4759038673808291,87,3569,1365.6360116770225,0,False,0.5305401172315952,0.0,0.004653207573023957,0.5617597137106976,1.8048303395232268,0.1371868362756069,-8091.284703212281,-64.75605924939799,-1.8097196233098813
