name,min_long_green,max_short_green,target_long_fraction,target_short_fraction,initial_sol_collateral,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,final_collateral_SOL,final_collateral_ETH,final_collateral_USDC,final_debt_SOL_value,final_debt_ETH_value,sol_checkpoint_gap,drawdown_checkpoint_gap
mlg3_msg0_long1.00_short0.00,3,0,1.0,0.0,100.0,50979.73047145211,408.0010441892926,32913.6837659967,57.398961798271195,37.46627691212692,1.9374491337818085,1.506886932533485,0,False,0.0,0.0,50979.73047145211,0.0,0.0,-88.35207781070739,-21.5918712017288
mlg4_msg0_long1.00_short0.00,4,0,1.0,0.0,100.0,6170.063751722477,49.380262118627265,3895.6377099614533,57.59671135558674,33.036240767875356,1.1108993482466107,1.5125914334159722,0,False,0.0,0.0,6170.063751722477,0.0,0.0,-446.9728598813727,-21.394121644413254
mlg4_msg0_long1.00_short0.30,4,0,1.0,0.3,100.0,4362.085468625475,34.91064800820708,2724.81897981186,61.31115006787971,40.56597120369872,1.266839444070925,1.507802536534238,0,False,0.0,0.0,4362.085468625475,0.0,0.0,-461.4424739917929,-17.679682932120286
mlg3_msg0_long1.00_short0.30,3,0,1.0,0.3,100.0,35913.90069930331,287.4261760648524,23157.285778593,62.596954164807286,40.879436867333254,2.0084703895736764,1.506886932533484,0,False,0.0,0.0,35913.90069930331,0.0,0.0,-208.92694593514756,-16.39387883519271
mlg3_msg0_long1.50_short0.00,3,0,1.5,0.0,100.0,247243.50621364784,1978.7395455273936,160011.06476728906,73.66285123343967,51.83663692262226,1.9367864327502935,1.2390551906999954,0,False,0.0,0.0,247243.50621364784,0.0,0.0,1482.3864235273936,-5.3279817665603275
mlg4_msg0_long1.50_short0.00,4,0,1.5,0.0,100.0,16664.08193741532,133.3660019000826,10691.401332350293,73.67580274073211,49.17801542156647,1.1037400751654771,1.2411698761500083,0,False,0.0,0.0,16664.08193741532,0.0,0.0,-362.9871200999174,-5.3150302592678855
mlg4_msg0_long1.50_short0.30,4,0,1.5,0.3,100.0,11784.685506359448,94.31521013492956,7531.579786529885,75.54166697303086,54.933033933456244,1.289104783721078,1.2381727048139868,0,False,0.0,0.0,11784.685506359448,0.0,0.0,-402.03791186507044,-3.449166026969138
mlg3_msg0_long1.50_short0.30,3,0,1.5,0.3,100.0,181272.5160441881,1450.7604325265152,117289.27343879553,77.09068746355481,54.73980578777158,2.0409229834894806,1.2390551906999954,0,False,0.0,-1.4210854715202004e-14,181272.51604418812,0.0,0.0,954.4073105265152,-1.90014553644518
