name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,recovery_boost_active_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rv336_dd_e_tight_3,63161.029948066636,505.4904357588366,55.402185954063135,37.93000388516837,2.261028402236878,1.4797593193096483,57,3420,1419.7464449191755,0,False,0.530197285592705,0.0,0.004680612967319067,0.5617597137106976,1.8048303395232268,0.1149199534108297,0.0,-6648.8000519333655,-53.21156424116339,-2.028814045936862
rv336_dd_e_tight_3_rec_t1.150_dd0.20_w0.010,63837.184384445405,510.9018358098872,55.0674052326493,37.94012482024407,2.2622640179742,1.4414827801275205,26,4084,1431.5618608659515,0,False,0.5316532330790368,0.0,0.004768538607349214,0.5617597137106976,1.8048303395232268,0.11021536072350241,0.004590403544430996,-5972.645615554597,-47.80016419011281,-2.3635947673506976
rv336_dd_e_tight_3_rec_t1.200_dd0.20_w0.010,65292.38271698189,522.5480809682424,55.134205671578215,37.940458844781816,2.2687157243854057,1.4117186911635855,31,4082,1455.049444077032,0,False,0.5320831552020413,0.0,0.004711444035901066,0.5617597137106976,1.8048303395232268,0.1097814419804965,0.004704592687327289,-4517.447283018111,-36.153919031757596,-2.2967943284217824
rv336_dd_e_tight_3_rec_t1.225_dd0.20_w0.010,69149.98309962188,553.4212332902912,55.3172381845843,37.94191364329949,2.2859156206430313,1.3977227960489382,29,4015,1535.2616703176818,0,False,0.5324337158707328,0.0,0.0046874643158928446,0.5617597137106976,1.8048303395232268,0.10893644232306392,0.004407700915796926,-659.8469003781211,-5.280766709708814,-2.1137618154156996
rv336_dd_e_tight_3_rec_t1.250_dd0.20_w0.010,70444.00403290741,563.7775432805715,55.167946003780266,37.942215623186485,2.291806739453195,1.384276674249763,38,3987,1550.867950143569,0,False,0.5325724556793519,0.0,0.004762829150204399,0.5617597137106976,1.8048303395232268,0.10900495580880169,0.004316349601479892,634.1740329074091,5.075543280571537,-2.263053996219732
rv336_dd_e_tight_3_rec_t1.200_dd0.22_w0.012,74123.1334604631,593.2223566263553,55.55323460396815,37.92996525532067,2.3093293279775557,1.4202877686208901,59,3764,1641.182047986445,0,False,0.5324677373035355,0.0,0.004737707538767215,0.5617597137106976,1.8048303395232268,0.10603603809349807,0.0024893233151391967,4313.303460463096,34.52035662635535,-1.8777653960318474
rv336_dd_e_tight_3_rec_t1.250_dd0.22_w0.012,74637.43500425295,597.3384154001837,55.56772519341013,37.929920375123174,2.3113273634787914,1.3920618922853656,59,3762,1652.9695487907022,0,False,0.5326778453264646,0.0,0.004718295384474844,0.5617597137106976,1.8048303395232268,0.10548793020759586,0.0024436476579806792,4827.605004252953,38.63641540018375,-1.8632748065898639
rv336_dd_e_tight_4,61297.54280512482,490.57657307022663,55.81215813925464,37.81897132692612,2.2511998682952488,1.4797607574204055,82,3563,1378.5388082008358,0,False,0.5303871037801141,0.0,0.004677187293032179,0.5617597137106976,1.8048303395232268,0.13805467376161876,0.0,-8512.287194875185,-68.12542692977337,-1.6188418607453556
rv336_dd_e_tight_4_rec_t1.150_dd0.20_w0.010,72234.08448908084,578.1039174796385,54.64798354250221,37.833669630954255,2.298776920360522,1.4540384523439782,27,3971,1607.612220708827,0,False,0.5339804799830506,0.0,0.004805079133076027,0.5617597137106976,1.8048303395232268,0.12183981547034509,0.004202160458583598,2424.254489080835,19.40191747963854,-2.783016457497787
rv336_dd_e_tight_4_rec_t1.200_dd0.20_w0.010,73355.20022682367,587.0764323875444,54.681825799904736,37.83368797666164,2.303366065457925,1.4231292131903794,28,3990,1628.0202206325828,0,False,0.5341163650630972,0.0,0.004830200744513212,0.5617597137106976,1.8048303395232268,0.12204535592755841,0.004247836115742115,3545.3702268236666,28.374432387544402,-2.7491742000952613
rv336_dd_e_tight_4_rec_t1.225_dd0.20_w0.010,74305.03099133335,594.6781191783381,54.620963310589296,37.833763073378954,2.307036450998304,1.4086214294040298,29,3976,1647.4152658198775,0,False,0.5342077163774142,0.0,0.004761687258775436,0.5617597137106976,1.8048303395232268,0.12218238289903396,0.004202160458583598,4495.200991333346,35.97611917833808,-2.810036689410701
rv336_dd_e_tight_4_rec_t1.250_dd0.20_w0.010,74879.5094255557,599.2757857187331,54.66254181481796,37.833804052761636,2.3092918892487893,1.39469307799972,32,3991,1656.4026850039254,0,False,0.5342488244688569,0.0,0.004663484595884623,0.5617597137106976,1.8048303395232268,0.12225089638477174,0.00417932263000434,5069.679425555703,40.57378571873312,-2.768458185182034
rv336_dd_e_tight_4_rec_t1.200_dd0.22_w0.012,72643.05043967182,581.3769542990941,56.015374135113696,37.818930257133445,2.3035183868844857,1.4221535838858794,81,3865,1607.6982251328393,0,False,0.5325253912801368,0.0,0.00463493731016055,0.5617597137106976,1.8048303395232268,0.12955900153013453,0.0025121611437184553,2833.2204396718153,22.67495429909411,-1.4156258648863016
rv336_dd_e_tight_4_rec_t1.250_dd0.22_w0.012,73362.77368932051,587.137044332297,56.078522655275385,37.81891266818133,2.306313684581654,1.3937721068858913,81,3862,1624.342702679242,0,False,0.5327022850028708,0.0,0.004623518395870921,0.5617597137106976,1.8048303395232268,0.12933062324434194,0.0024436476579806792,3552.943689320513,28.435044332297025,-1.352477344724612
